category,filename,unique_fixation_count,entropy,std_intensity
Action,001.mat,304,8.247927513443585,0.01210716503826061
Action,145.mat,306,8.257387842692651,0.012146920091262248
Action,143.mat,286,8.159871336778387,0.011743311269854891
Action,141.mat,336,8.392317422778762,0.01272834557339113
Action,139.mat,333,8.379378367071261,0.012671404363386903
Action,137.mat,371,8.535275376620802,0.013374748003765275
Action,135.mat,309,8.271463027904371,0.012206309756627407
Action,133.mat,311,8.280770770130601,0.012245742756697434
Action,131.mat,328,8.357552004618086,0.01257592906093749
Action,129.mat,335,8.388017285345136,0.012709393534012537
Action,127.mat,357,8.4797802640291,0.013120011863096947
Action,125.mat,319,8.31741261376487,0.012402220293626821
Action,123.mat,307,8.262094845370179,0.01216674887657843
Action,121.mat,369,8.527477006060394,0.013338655186790055
Action,119.mat,315,8.29920801838728,0.012324230022947358
Action,117.mat,330,8.366322214245814,0.0126142059543608
Action,115.mat,299,8.224001674198105,0.012007201215279937
Action,113.mat,337,8.39660478118186,0.012747269417557421
Action,111.mat,338,8.400879436282182,0.012766165191896441
Action,109.mat,346,8.434628227636725,0.012916335617574893
Action,107.mat,358,8.483815777264256,0.013138371211382133
Action,105.mat,310,8.276124405274237,0.012226042164230455
Action,147.mat,336,8.392317422778762,0.012728345573391144
Action,151.mat,374,8.546894459887639,0.013428705210626753
Action,153.mat,368,8.523561956057012,0.01332057207886759
Action,155.mat,367,8.519636252843213,0.013302464371664194
Action,199.mat,339,8.405141463136346,0.012785033020866442
Action,197.mat,371,8.535275376620802,0.013374748003765287
Action,195.mat,392,8.614709844115206,0.013747998855882375
Action,193.mat,340,8.409390936137704,0.01280387302800856
Action,191.mat,347,8.438791852578259,0.012934984255985892
Action,189.mat,365,8.511752653767381,0.013266174756355598
Action,187.mat,297,8.214319120800766,0.011966981744470162
Action,185.mat,394,8.622051819456374,0.013783019013163419
Action,183.mat,345,8.430452551665532,0.012897659997221585
Action,181.mat,375,8.550746785383245,0.0134466427976232
