category,filename,image_path,roi_id,x1,y1,x2,y2,width,height,area
Action,001.jpg,data/CAT2000/trainSet/Stimuli/Action/001.jpg,ROI_00,702,356,1084,674,382,318,121476
Action,003.jpg,data/CAT2000/trainSet/Stimuli/Action/003.jpg,ROI_00,607,219,1122,709,515,490,252350
Action,003.jpg,data/CAT2000/trainSet/Stimuli/Action/003.jpg,ROI_01,1271,345,1445,586,174,241,41934
Action,005.jpg,data/CAT2000/trainSet/Stimuli/Action/005.jpg,ROI_00,690,334,1072,763,382,429,163878
Action,007.jpg,data/CAT2000/trainSet/Stimuli/Action/007.jpg,ROI_00,1133,269,1337,440,204,171,34884
Action,007.jpg,data/CAT2000/trainSet/Stimuli/Action/007.jpg,ROI_01,797,369,1096,643,299,274,81926
Action,007.jpg,data/CAT2000/trainSet/Stimuli/Action/007.jpg,ROI_02,1119,667,1312,912,193,245,47285
Action,009.jpg,data/CAT2000/trainSet/Stimuli/Action/009.jpg,ROI_00,727,229,1092,651,365,422,154030
Action,011.jpg,data/CAT2000/trainSet/Stimuli/Action/011.jpg,ROI_00,648,124,1070,676,422,552,232944
Action,011.jpg,data/CAT2000/trainSet/Stimuli/Action/011.jpg,ROI_01,517,475,663,609,146,134,19564
Action,013.jpg,data/CAT2000/trainSet/Stimuli/Action/013.jpg,ROI_00,783,1,1083,649,300,648,194400
Action,013.jpg,data/CAT2000/trainSet/Stimuli/Action/013.jpg,ROI_01,848,667,1016,935,168,268,45024
Action,015.jpg,data/CAT2000/trainSet/Stimuli/Action/015.jpg,ROI_00,907,350,1234,869,327,519,169713
Action,017.jpg,data/CAT2000/trainSet/Stimuli/Action/017.jpg,ROI_00,1156,189,1363,432,207,243,50301
Action,017.jpg,data/CAT2000/trainSet/Stimuli/Action/017.jpg,ROI_01,871,409,1131,663,260,254,66040
Action,017.jpg,data/CAT2000/trainSet/Stimuli/Action/017.jpg,ROI_02,992,690,1132,836,140,146,20440
Action,019.jpg,data/CAT2000/trainSet/Stimuli/Action/019.jpg,ROI_00,508,321,1318,684,810,363,294030
Action,019.jpg,data/CAT2000/trainSet/Stimuli/Action/019.jpg,ROI_01,1516,646,1635,722,119,76,9044
Action,021.jpg,data/CAT2000/trainSet/Stimuli/Action/021.jpg,ROI_00,1427,316,1632,486,205,170,34850
Action,021.jpg,data/CAT2000/trainSet/Stimuli/Action/021.jpg,ROI_01,560,342,821,627,261,285,74385
Action,021.jpg,data/CAT2000/trainSet/Stimuli/Action/021.jpg,ROI_02,831,393,1122,753,291,360,104760
Action,023.jpg,data/CAT2000/trainSet/Stimuli/Action/023.jpg,ROI_00,568,416,1121,699,553,283,156499
Action,023.jpg,data/CAT2000/trainSet/Stimuli/Action/023.jpg,ROI_01,1330,841,1570,1052,240,211,50640
Action,025.jpg,data/CAT2000/trainSet/Stimuli/Action/025.jpg,ROI_00,396,305,572,540,176,235,41360
Action,025.jpg,data/CAT2000/trainSet/Stimuli/Action/025.jpg,ROI_01,711,296,1252,689,541,393,212613
Action,027.jpg,data/CAT2000/trainSet/Stimuli/Action/027.jpg,ROI_00,858,120,1162,606,304,486,147744
Action,027.jpg,data/CAT2000/trainSet/Stimuli/Action/027.jpg,ROI_01,675,578,842,775,167,197,32899
Action,027.jpg,data/CAT2000/trainSet/Stimuli/Action/027.jpg,ROI_02,1126,793,1230,902,104,109,11336
Action,027.jpg,data/CAT2000/trainSet/Stimuli/Action/027.jpg,ROI_03,870,825,988,941,118,116,13688
Action,029.jpg,data/CAT2000/trainSet/Stimuli/Action/029.jpg,ROI_00,757,51,1050,337,293,286,83798
Action,029.jpg,data/CAT2000/trainSet/Stimuli/Action/029.jpg,ROI_01,855,404,1192,693,337,289,97393
Action,031.jpg,data/CAT2000/trainSet/Stimuli/Action/031.jpg,ROI_00,1051,80,1132,173,81,93,7533
Action,031.jpg,data/CAT2000/trainSet/Stimuli/Action/031.jpg,ROI_01,1491,56,1659,237,168,181,30408
Action,031.jpg,data/CAT2000/trainSet/Stimuli/Action/031.jpg,ROI_02,753,201,1096,798,343,597,204771
Action,033.jpg,data/CAT2000/trainSet/Stimuli/Action/033.jpg,ROI_00,691,410,1078,813,387,403,155961
Action,035.jpg,data/CAT2000/trainSet/Stimuli/Action/035.jpg,ROI_00,474,190,566,308,92,118,10856
Action,035.jpg,data/CAT2000/trainSet/Stimuli/Action/035.jpg,ROI_01,831,174,1031,357,200,183,36600
Action,035.jpg,data/CAT2000/trainSet/Stimuli/Action/035.jpg,ROI_02,1282,225,1442,390,160,165,26400
