image_id,category,filename,image_path
Action_001,Action,001.jpg,data/CAT2000/trainSet/Stimuli/Action/001.jpg
Action_003,Action,003.jpg,data/CAT2000/trainSet/Stimuli/Action/003.jpg
Action_005,Action,005.jpg,data/CAT2000/trainSet/Stimuli/Action/005.jpg
Action_007,Action,007.jpg,data/CAT2000/trainSet/Stimuli/Action/007.jpg
Action_009,Action,009.jpg,data/CAT2000/trainSet/Stimuli/Action/009.jpg
Action_011,Action,011.jpg,data/CAT2000/trainSet/Stimuli/Action/011.jpg
Action_013,Action,013.jpg,data/CAT2000/trainSet/Stimuli/Action/013.jpg
Action_015,Action,015.jpg,data/CAT2000/trainSet/Stimuli/Action/015.jpg
Action_017,Action,017.jpg,data/CAT2000/trainSet/Stimuli/Action/017.jpg
Action_019,Action,019.jpg,data/CAT2000/trainSet/Stimuli/Action/019.jpg
Action_023,Action,023.jpg,data/CAT2000/trainSet/Stimuli/Action/023.jpg
Action_025,Action,025.jpg,data/CAT2000/trainSet/Stimuli/Action/025.jpg
Action_027,Action,027.jpg,data/CAT2000/trainSet/Stimuli/Action/027.jpg
Action_029,Action,029.jpg,data/CAT2000/trainSet/Stimuli/Action/029.jpg
Action_031,Action,031.jpg,data/CAT2000/trainSet/Stimuli/Action/031.jpg
Action_033,Action,033.jpg,data/CAT2000/trainSet/Stimuli/Action/033.jpg
Action_037,Action,037.jpg,data/CAT2000/trainSet/Stimuli/Action/037.jpg
Action_039,Action,039.jpg,data/CAT2000/trainSet/Stimuli/Action/039.jpg
Action_041,Action,041.jpg,data/CAT2000/trainSet/Stimuli/Action/041.jpg
Action_043,Action,043.jpg,data/CAT2000/trainSet/Stimuli/Action/043.jpg
Action_045,Action,045.jpg,data/CAT2000/trainSet/Stimuli/Action/045.jpg
Action_047,Action,047.jpg,data/CAT2000/trainSet/Stimuli/Action/047.jpg
Action_049,Action,049.jpg,data/CAT2000/trainSet/Stimuli/Action/049.jpg
Action_051,Action,051.jpg,data/CAT2000/trainSet/Stimuli/Action/051.jpg
Action_053,Action,053.jpg,data/CAT2000/trainSet/Stimuli/Action/053.jpg
Action_055,Action,055.jpg,data/CAT2000/trainSet/Stimuli/Action/055.jpg
Action_063,Action,063.jpg,data/CAT2000/trainSet/Stimuli/Action/063.jpg
Action_069,Action,069.jpg,data/CAT2000/trainSet/Stimuli/Action/069.jpg
Action_071,Action,071.jpg,data/CAT2000/trainSet/Stimuli/Action/071.jpg
Action_075,Action,075.jpg,data/CAT2000/trainSet/Stimuli/Action/075.jpg
Action_085,Action,085.jpg,data/CAT2000/trainSet/Stimuli/Action/085.jpg
Action_087,Action,087.jpg,data/CAT2000/trainSet/Stimuli/Action/087.jpg
Action_089,Action,089.jpg,data/CAT2000/trainSet/Stimuli/Action/089.jpg
Action_091,Action,091.jpg,data/CAT2000/trainSet/Stimuli/Action/091.jpg
Action_093,Action,093.jpg,data/CAT2000/trainSet/Stimuli/Action/093.jpg
Action_095,Action,095.jpg,data/CAT2000/trainSet/Stimuli/Action/095.jpg
Action_097,Action,097.jpg,data/CAT2000/trainSet/Stimuli/Action/097.jpg
Action_101,Action,101.jpg,data/CAT2000/trainSet/Stimuli/Action/101.jpg
Action_103,Action,103.jpg,data/CAT2000/trainSet/Stimuli/Action/103.jpg
Action_105,Action,105.jpg,data/CAT2000/trainSet/Stimuli/Action/105.jpg
Action_107,Action,107.jpg,data/CAT2000/trainSet/Stimuli/Action/107.jpg
Action_109,Action,109.jpg,data/CAT2000/trainSet/Stimuli/Action/109.jpg
Action_111,Action,111.jpg,data/CAT2000/trainSet/Stimuli/Action/111.jpg
Action_113,Action,113.jpg,data/CAT2000/trainSet/Stimuli/Action/113.jpg
Action_115,Action,115.jpg,data/CAT2000/trainSet/Stimuli/Action/115.jpg
Action_117,Action,117.jpg,data/CAT2000/trainSet/Stimuli/Action/117.jpg
Action_119,Action,119.jpg,data/CAT2000/trainSet/Stimuli/Action/119.jpg
Action_121,Action,121.jpg,data/CAT2000/trainSet/Stimuli/Action/121.jpg
Action_123,Action,123.jpg,data/CAT2000/trainSet/Stimuli/Action/123.jpg
Action_125,Action,125.jpg,data/CAT2000/trainSet/Stimuli/Action/125.jpg
Action_127,Action,127.jpg,data/CAT2000/trainSet/Stimuli/Action/127.jpg
Action_129,Action,129.jpg,data/CAT2000/trainSet/Stimuli/Action/129.jpg
Action_133,Action,133.jpg,data/CAT2000/trainSet/Stimuli/Action/133.jpg
Action_137,Action,137.jpg,data/CAT2000/trainSet/Stimuli/Action/137.jpg
Action_139,Action,139.jpg,data/CAT2000/trainSet/Stimuli/Action/139.jpg
Action_143,Action,143.jpg,data/CAT2000/trainSet/Stimuli/Action/143.jpg
Action_145,Action,145.jpg,data/CAT2000/trainSet/Stimuli/Action/145.jpg
Action_147,Action,147.jpg,data/CAT2000/trainSet/Stimuli/Action/147.jpg
Action_151,Action,151.jpg,data/CAT2000/trainSet/Stimuli/Action/151.jpg
Action_153,Action,153.jpg,data/CAT2000/trainSet/Stimuli/Action/153.jpg
Action_155,Action,155.jpg,data/CAT2000/trainSet/Stimuli/Action/155.jpg
Action_159,Action,159.jpg,data/CAT2000/trainSet/Stimuli/Action/159.jpg
Action_161,Action,161.jpg,data/CAT2000/trainSet/Stimuli/Action/161.jpg
Action_165,Action,165.jpg,data/CAT2000/trainSet/Stimuli/Action/165.jpg
Action_169,Action,169.jpg,data/CAT2000/trainSet/Stimuli/Action/169.jpg
Action_171,Action,171.jpg,data/CAT2000/trainSet/Stimuli/Action/171.jpg
Action_173,Action,173.jpg,data/CAT2000/trainSet/Stimuli/Action/173.jpg
Action_175,Action,175.jpg,data/CAT2000/trainSet/Stimuli/Action/175.jpg
Action_177,Action,177.jpg,data/CAT2000/trainSet/Stimuli/Action/177.jpg
Action_179,Action,179.jpg,data/CAT2000/trainSet/Stimuli/Action/179.jpg
Action_181,Action,181.jpg,data/CAT2000/trainSet/Stimuli/Action/181.jpg
Action_183,Action,183.jpg,data/CAT2000/trainSet/Stimuli/Action/183.jpg
Action_185,Action,185.jpg,data/CAT2000/trainSet/Stimuli/Action/185.jpg
Action_187,Action,187.jpg,data/CAT2000/trainSet/Stimuli/Action/187.jpg
Action_189,Action,189.jpg,data/CAT2000/trainSet/Stimuli/Action/189.jpg
Action_191,Action,191.jpg,data/CAT2000/trainSet/Stimuli/Action/191.jpg
Action_193,Action,193.jpg,data/CAT2000/trainSet/Stimuli/Action/193.jpg
Action_195,Action,195.jpg,data/CAT2000/trainSet/Stimuli/Action/195.jpg
Action_197,Action,197.jpg,data/CAT2000/trainSet/Stimuli/Action/197.jpg
Action_199,Action,199.jpg,data/CAT2000/trainSet/Stimuli/Action/199.jpg
Affective_005,Affective,005.jpg,data/CAT2000/trainSet/Stimuli/Affective/005.jpg
Affective_015,Affective,015.jpg,data/CAT2000/trainSet/Stimuli/Affective/015.jpg
