image_id,category,filename,image_width,image_height,A_P,A_O
Action_001,Action,001.jpg,1920,1080,606944,1466656
Action_003,Action,003.jpg,1920,1080,646362,1427238
Action_005,Action,005.jpg,1920,1080,454248,1619352
Action_007,Action,007.jpg,1920,1080,274573,1799027
Action_009,Action,009.jpg,1920,1080,1338589,735011
Action_011,Action,011.jpg,1920,1080,89953,1983647
Action_013,Action,013.jpg,1920,1080,147187,1926413
Action_015,Action,015.jpg,1920,1080,64692,2008908
Action_017,Action,017.jpg,1920,1080,109000,1964600
Action_019,Action,019.jpg,1920,1080,24645,2048955
Action_023,Action,023.jpg,1920,1080,64852,2008748
Action_025,Action,025.jpg,1920,1080,125187,1948413
Action_027,Action,027.jpg,1920,1080,176067,1897533
Action_029,Action,029.jpg,1920,1080,272325,1801275
Action_031,Action,031.jpg,1920,1080,192290,1881310
Action_033,Action,033.jpg,1920,1080,52806,2020794
Action_037,Action,037.jpg,1920,1080,82199,1991401
Action_039,Action,039.jpg,1920,1080,97757,1975843
Action_041,Action,041.jpg,1920,1080,54345,2019255
Action_043,Action,043.jpg,1920,1080,131129,1942471
Action_045,Action,045.jpg,1920,1080,36370,2037230
Action_047,Action,047.jpg,1920,1080,76236,1997364
Action_049,Action,049.jpg,1920,1080,115343,1958257
Action_051,Action,051.jpg,1920,1080,94684,1978916
Action_053,Action,053.jpg,1920,1080,209684,1863916
Action_055,Action,055.jpg,1920,1080,136568,1937032
Action_063,Action,063.jpg,1920,1080,301511,1772089
Action_069,Action,069.jpg,1920,1080,65423,2008177
Action_071,Action,071.jpg,1920,1080,288569,1785031
Action_075,Action,075.jpg,1920,1080,4268,2069332
Action_085,Action,085.jpg,1920,1080,35367,2038233
Action_087,Action,087.jpg,1920,1080,21142,2052458
Action_089,Action,089.jpg,1920,1080,31965,2041635
Action_091,Action,091.jpg,1920,1080,95722,1977878
Action_093,Action,093.jpg,1920,1080,27743,2045857
Action_095,Action,095.jpg,1920,1080,19891,2053709
Action_097,Action,097.jpg,1920,1080,85247,1988353
Action_101,Action,101.jpg,1920,1080,120421,1953179
Action_103,Action,103.jpg,1920,1080,75271,1998329
Action_105,Action,105.jpg,1920,1080,20169,2053431
Action_107,Action,107.jpg,1920,1080,218186,1855414
Action_109,Action,109.jpg,1920,1080,57328,2016272
Action_111,Action,111.jpg,1920,1080,130421,1943179
Action_113,Action,113.jpg,1920,1080,330148,1743452
Action_115,Action,115.jpg,1920,1080,225892,1847708
Action_117,Action,117.jpg,1920,1080,257570,1816030
Action_119,Action,119.jpg,1920,1080,122187,1951413
Action_121,Action,121.jpg,1920,1080,176954,1896646
Action_123,Action,123.jpg,1920,1080,69914,2003686
Action_125,Action,125.jpg,1920,1080,87574,1986026
Action_127,Action,127.jpg,1920,1080,91713,1981887
Action_129,Action,129.jpg,1920,1080,157032,1916568
Action_133,Action,133.jpg,1920,1080,23343,2050257
Action_137,Action,137.jpg,1920,1080,151835,1921765
Action_139,Action,139.jpg,1920,1080,102462,1971138
Action_143,Action,143.jpg,1920,1080,42310,2031290
Action_145,Action,145.jpg,1920,1080,172363,1901237
Action_147,Action,147.jpg,1920,1080,79015,1994585
Action_151,Action,151.jpg,1920,1080,191803,1881797
Action_153,Action,153.jpg,1920,1080,504180,1569420
Action_155,Action,155.jpg,1920,1080,109407,1964193
Action_159,Action,159.jpg,1920,1080,174906,1898694
Action_161,Action,161.jpg,1920,1080,228707,1844893
Action_165,Action,165.jpg,1920,1080,40862,2032738
Action_169,Action,169.jpg,1920,1080,584209,1489391
Action_171,Action,171.jpg,1920,1080,169650,1903950
Action_173,Action,173.jpg,1920,1080,775114,1298486
Action_175,Action,175.jpg,1920,1080,204301,1869299
Action_177,Action,177.jpg,1920,1080,102781,1970819
Action_179,Action,179.jpg,1920,1080,151354,1922246
Action_181,Action,181.jpg,1920,1080,270492,1803108
Action_183,Action,183.jpg,1920,1080,69339,2004261
Action_185,Action,185.jpg,1920,1080,88978,1984622
Action_187,Action,187.jpg,1920,1080,156890,1916710
Action_189,Action,189.jpg,1920,1080,339598,1734002
Action_191,Action,191.jpg,1920,1080,301158,1772442
Action_193,Action,193.jpg,1920,1080,1114176,959424
Action_195,Action,195.jpg,1920,1080,459637,1613963
Action_197,Action,197.jpg,1920,1080,399532,1674068
Action_199,Action,199.jpg,1920,1080,85319,1988281
Affective_005,Affective,005.jpg,1920,1080,139173,1934427
Affective_015,Affective,015.jpg,1920,1080,80018,1993582
Affective_029,Affective,029.jpg,1920,1080,419744,1653856
Affective_033,Affective,033.jpg,1920,1080,964065,1109535
Affective_037,Affective,037.jpg,1920,1080,314451,1759149
Affective_039,Affective,039.jpg,1920,1080,883917,1189683
Affective_041,Affective,041.jpg,1920,1080,958097,1115503
Affective_043,Affective,043.jpg,1920,1080,645116,1428484
Affective_045,Affective,045.jpg,1920,1080,436578,1637022
Affective_049,Affective,049.jpg,1920,1080,297825,1775775
Affective_051,Affective,051.jpg,1920,1080,824736,1248864
Affective_053,Affective,053.jpg,1920,1080,1039081,1034519
Affective_055,Affective,055.jpg,1920,1080,540681,1532919
Affective_057,Affective,057.jpg,1920,1080,292536,1781064
Affective_059,Affective,059.jpg,1920,1080,230449,1843151
Affective_061,Affective,061.jpg,1920,1080,876431,1197169
Affective_065,Affective,065.jpg,1920,1080,690534,1383066
Affective_067,Affective,067.jpg,1920,1080,13269,2060331
Affective_069,Affective,069.jpg,1920,1080,523841,1549759
Affective_071,Affective,071.jpg,1920,1080,505565,1568035
Affective_073,Affective,073.jpg,1920,1080,686823,1386777
