image_id,category,filename,image_width,image_height,A_P,A_O,n_P,n_O,n_gt_total
Action_001,Action,001.jpg,1920,1080,606944,1466656,242,62,304
Action_003,Action,003.jpg,1920,1080,646362,1427238,152,202,354
Action_005,Action,005.jpg,1920,1080,454248,1619352,270,70,340
Action_007,Action,007.jpg,1920,1080,274573,1799027,120,216,336
Action_009,Action,009.jpg,1920,1080,1338589,735011,269,64,333
Action_011,Action,011.jpg,1920,1080,89953,1983647,118,250,368
Action_013,Action,013.jpg,1920,1080,147187,1926413,74,280,354
Action_015,Action,015.jpg,1920,1080,64692,2008908,118,241,359
Action_017,Action,017.jpg,1920,1080,109000,1964600,103,229,332
Action_019,Action,019.jpg,1920,1080,24645,2048955,30,351,381
Action_023,Action,023.jpg,1920,1080,64852,2008748,63,318,381
Action_025,Action,025.jpg,1920,1080,125187,1948413,124,292,416
Action_027,Action,027.jpg,1920,1080,176067,1897533,118,288,406
Action_029,Action,029.jpg,1920,1080,272325,1801275,116,266,382
Action_031,Action,031.jpg,1920,1080,192290,1881310,158,205,363
Action_033,Action,033.jpg,1920,1080,52806,2020794,74,223,297
Action_037,Action,037.jpg,1920,1080,82199,1991401,69,242,311
Action_039,Action,039.jpg,1920,1080,97757,1975843,107,221,328
Action_041,Action,041.jpg,1920,1080,54345,2019255,60,169,229
Action_043,Action,043.jpg,1920,1080,131129,1942471,143,102,245
Action_045,Action,045.jpg,1920,1080,36370,2037230,101,203,304
Action_047,Action,047.jpg,1920,1080,76236,1997364,161,72,233
Action_049,Action,049.jpg,1920,1080,115343,1958257,205,110,315
Action_051,Action,051.jpg,1920,1080,94684,1978916,111,279,390
Action_053,Action,053.jpg,1920,1080,209684,1863916,227,145,372
Action_055,Action,055.jpg,1920,1080,136568,1937032,190,212,402
Action_063,Action,063.jpg,1920,1080,301511,1772089,175,195,370
Action_069,Action,069.jpg,1920,1080,65423,2008177,151,184,335
Action_071,Action,071.jpg,1920,1080,288569,1785031,155,213,368
Action_075,Action,075.jpg,1920,1080,4268,2069332,13,331,344
Action_085,Action,085.jpg,1920,1080,35367,2038233,91,285,376
Action_087,Action,087.jpg,1920,1080,21142,2052458,63,255,318
Action_089,Action,089.jpg,1920,1080,31965,2041635,58,287,345
Action_091,Action,091.jpg,1920,1080,95722,1977878,156,203,359
Action_093,Action,093.jpg,1920,1080,27743,2045857,28,368,396
Action_095,Action,095.jpg,1920,1080,19891,2053709,37,281,318
Action_097,Action,097.jpg,1920,1080,85247,1988353,162,181,343
Action_101,Action,101.jpg,1920,1080,120421,1953179,170,186,356
Action_103,Action,103.jpg,1920,1080,75271,1998329,106,287,393
Action_105,Action,105.jpg,1920,1080,20169,2053431,34,276,310
Action_107,Action,107.jpg,1920,1080,218186,1855414,70,288,358
Action_109,Action,109.jpg,1920,1080,57328,2016272,73,273,346
Action_111,Action,111.jpg,1920,1080,130421,1943179,133,205,338
Action_113,Action,113.jpg,1920,1080,330148,1743452,74,263,337
Action_115,Action,115.jpg,1920,1080,225892,1847708,200,99,299
Action_117,Action,117.jpg,1920,1080,257570,1816030,184,146,330
Action_119,Action,119.jpg,1920,1080,122187,1951413,79,236,315
Action_121,Action,121.jpg,1920,1080,176954,1896646,176,193,369
Action_123,Action,123.jpg,1920,1080,69914,2003686,99,208,307
Action_125,Action,125.jpg,1920,1080,87574,1986026,184,135,319
Action_127,Action,127.jpg,1920,1080,91713,1981887,133,224,357
Action_129,Action,129.jpg,1920,1080,157032,1916568,228,107,335
Action_133,Action,133.jpg,1920,1080,23343,2050257,62,249,311
Action_137,Action,137.jpg,1920,1080,151835,1921765,114,257,371
Action_139,Action,139.jpg,1920,1080,102462,1971138,82,251,333
Action_143,Action,143.jpg,1920,1080,42310,2031290,78,208,286
Action_145,Action,145.jpg,1920,1080,172363,1901237,103,203,306
Action_147,Action,147.jpg,1920,1080,79015,1994585,48,288,336
Action_151,Action,151.jpg,1920,1080,191803,1881797,83,291,374
Action_153,Action,153.jpg,1920,1080,504180,1569420,214,154,368
Action_155,Action,155.jpg,1920,1080,109407,1964193,87,280,367
Action_159,Action,159.jpg,1920,1080,174906,1898694,228,158,386
Action_161,Action,161.jpg,1920,1080,228707,1844893,148,247,395
Action_165,Action,165.jpg,1920,1080,40862,2032738,70,229,299
Action_169,Action,169.jpg,1920,1080,584209,1489391,215,71,286
