image_id,category,filename,image_width,image_height,A_P,A_F,A_H,A_B,A_O,n_F,n_H,n_B,n_O,n_gt_total
Action_005,Action,005.jpg,1920,1080,454248,25245,16856,412147,1619352,77,2,191,70,340
Action_009,Action,009.jpg,1920,1080,1338589,58563,25093,1254933,735011,130,4,135,64,333
Action_011,Action,011.jpg,1920,1080,89953,6081,5508,78364,1983647,57,4,57,250,368
Action_047,Action,047.jpg,1920,1080,76236,5304,3972,66960,1997364,44,5,112,72,233
Action_053,Action,053.jpg,1920,1080,209684,20880,12937,175867,1863916,75,8,144,145,372
Action_107,Action,107.jpg,1920,1080,218186,9542,8670,199974,1855414,36,5,29,288,358
Action_113,Action,113.jpg,1920,1080,330148,25913,13996,290239,1743452,32,11,31,263,337
Action_153,Action,153.jpg,1920,1080,504180,19455,7517,477208,1569420,24,4,186,154,368
Action_173,Action,173.jpg,1920,1080,775114,64913,49166,661035,1298486,36,18,189,104,347
Action_175,Action,175.jpg,1920,1080,204301,5494,2435,196372,1869299,13,6,72,262,353
Action_191,Action,191.jpg,1920,1080,301158,14912,12900,273346,1772442,68,24,184,71,347
Action_193,Action,193.jpg,1920,1080,1114176,140181,63892,910103,959424,108,32,103,97,340
Affective_029,Affective,029.jpg,1920,1080,419744,11126,27942,380676,1653856,25,10,101,248,384
Affective_037,Affective,037.jpg,1920,1080,314451,11358,24900,278193,1759149,29,72,135,74,310
Affective_059,Affective,059.jpg,1920,1080,230449,8407,5965,216077,1843151,41,17,253,88,399
Affective_061,Affective,061.jpg,1920,1080,876431,214024,224804,437603,1197169,182,97,75,42,396
Affective_065,Affective,065.jpg,1920,1080,690534,47974,58583,583977,1383066,135,46,108,85,374
Affective_083,Affective,083.jpg,1920,1080,291627,25419,19303,246905,1781973,107,16,69,114,306
Affective_115,Affective,115.jpg,1920,1080,402745,43618,45947,313180,1670855,55,22,25,272,374
Affective_175,Affective,175.jpg,1920,1080,138473,11886,7599,118988,1935127,54,12,149,170,385
Affective_181,Affective,181.jpg,1920,1080,690641,48815,29196,612630,1382959,89,6,183,104,382
Affective_183,Affective,183.jpg,1920,1080,513395,77917,38551,396927,1560205,86,22,142,106,356
Social_003,Social,003.jpg,1920,1080,1051021,56989,26092,967940,1022579,94,3,186,38,321
Social_013,Social,013.jpg,1920,1080,1002445,112855,27867,861723,1071155,144,10,174,61,389
Social_027,Social,027.jpg,1920,1080,880100,72871,18131,789098,1193500,131,10,187,47,375
Social_041,Social,041.jpg,1920,1080,1445551,81018,35000,1329533,628049,148,5,192,44,389
Social_061,Social,061.jpg,1920,1080,961267,124243,86849,750175,1112333,174,16,152,53,395
Social_067,Social,067.jpg,1920,1080,546323,21902,11215,513206,1527277,66,3,172,129,370
Social_091,Social,091.jpg,1920,1080,826377,65768,32848,727761,1247223,79,2,97,179,357
Social_125,Social,125.jpg,1920,1080,967527,113981,44172,809374,1106073,177,10,148,35,370
Social_127,Social,127.jpg,1920,1080,555082,41760,13900,499422,1518518,124,4,156,93,377
Social_163,Social,163.jpg,1920,1080,704987,33854,26437,644696,1368613,23,8,85,227,343
